order_id,customer_id,product_id,quantity,total_amount,order_status,timestamp
42,642888,359754,5,2473.71,Delivered,9/16/2023 21:52
43,222622,813109,1,302.06,Delivered,9/5/2023 0:23
44,726020,563335,5,2120.94,Pending,2/11/2024 9:16
45,677009,238474,5,466.36,Pending,1/25/2024 2:20
46,272093,577926,5,778.25,Pending,5/21/2024 19:29
47,461114,838367,2,772.6,Pending,1/28/2024 22:28
48,670443,238996,1,359.87,Shipped,3/25/2024 14:08
49,54573,62014,3,1000.86,Pending,8/20/2023 0:23
50,981630,870070,2,283.11,Delivered,6/13/2024 7:32
51,150399,814029,5,2407.2,Delivered,6/4/2024 0:47
52,75602,603771,2,994.03,Pending,3/6/2024 19:11
53,960180,5312,3,1227.62,Processing,2/19/2024 19:52
54,298028,113812,2,184.07,Processing,3/19/2024 8:30
55,284992,600278,2,979.26,Shipped,6/18/2024 4:48
56,903932,41921,4,1672,Delivered,8/17/2023 0:49
57,27497,873660,2,440.79,Pending,10/18/2023 10:56
58,962218,559320,3,903.16,Pending,4/18/2024 14:37
59,67303,855699,1,129.48,Pending,11/15/2023 10:27
60,452166,162600,5,1624.73,Pending,1/12/2024 10:30
61,828261,51890,3,73.36,Processing,1/25/2024 18:56
62,646987,520068,5,1226.82,Pending,12/29/2023 19:02
63,238991,265057,2,485.36,Pending,4/5/2024 1:53
64,834345,109967,5,147.33,Shipped,5/13/2024 0:19
65,461601,647606,4,655.74,Processing,2/13/2024 21:47
66,767105,237151,5,1626.57,Pending,6/16/2024 16:06
67,743741,239836,4,1800.46,Shipped,10/22/2023 10:17
68,580695,936384,4,933.39,Pending,5/22/2024 0:41
69,267906,54900,3,1110.29,Shipped,6/27/2024 14:20
70,177392,201593,1,277.33,Delivered,10/16/2023 18:27
71,459294,3490,4,575.58,Processing,1/20/2024 13:39
72,962984,660138,3,593.47,Pending,5/23/2024 20:48
73,282487,447466,3,193.02,Shipped,10/23/2023 17:20
74,941129,817648,3,941.53,Pending,11/9/2023 9:05
75,773527,630444,5,712.47,Delivered,7/27/2023 8:59
76,83072,776476,1,455.24,Delivered,3/21/2024 23:04
77,459069,502802,1,431.12,Processing,1/5/2024 7:48
78,939723,749396,3,859.29,Shipped,1/31/2024 11:49
79,740918,711492,3,1164.07,Delivered,12/14/2023 1:44
80,881655,387399,5,1034.36,Shipped,12/15/2023 9:03
81,152559,734721,1,153.22,Delivered,10/25/2023 19:55
82,26584,219620,4,756.45,Processing,9/30/2023 21:10
83,540274,561200,1,226.74,Processing,12/29/2023 0:02
84,256883,913667,3,33.89,Shipped,1/26/2024 14:47
85,221224,328094,3,1149.32,Shipped,4/24/2024 22:38
86,755256,56399,2,533.99,Processing,6/18/2024 0:55
87,589331,349335,1,329.28,Processing,1/5/2024 22:07
88,826960,420224,2,125.05,Pending,11/17/2023 21:17
89,781409,663924,2,111.51,Pending,11/3/2023 16:28
90,420363,571680,2,580.85,Processing,6/12/2024 1:58
91,673324,280504,1,450.39,Processing,12/28/2023 16:01
92,721585,978449,2,905.59,Delivered,4/22/2024 21:52
93,823839,643882,4,1283.72,Shipped,8/30/2023 20:56
94,221195,892630,5,1838.32,Shipped,3/22/2024 9:15
95,374045,839222,4,1653.66,Processing,6/3/2024 2:31
96,614725,70811,2,436.66,Pending,8/24/2023 15:20
97,386427,769781,3,1092.85,Delivered,7/9/2024 19:17
98,792031,317790,3,1461.81,Processing,11/14/2023 13:09
99,44106,667836,5,387.95,Processing,5/10/2024 22:52
100,342964,817877,3,298.72,Delivered,11/8/2023 10:41
101,501681,415984,5,1252.76,Processing,4/27/2024 9:22
102,933197,525000,5,2468.17,Pending,12/9/2023 18:38
103,380222,194366,2,37.15,Processing,2/5/2024 0:14
104,499846,218931,2,207.13,Shipped,6/6/2024 6:28
105,66708,190627,2,691.01,Processing,2/2/2024 20:58
106,878590,165269,5,293.52,Processing,4/2/2024 4:37
107,840877,113883,2,363.1,Shipped,7/14/2024 1:12
108,935119,402118,1,388.13,Processing,5/30/2024 11:57
109,705306,333374,4,1196.43,Delivered,5/20/2024 18:32
110,323927,818726,4,1278.52,Shipped,8/22/2023 6:38
111,464737,694773,3,1121.34,Processing,1/28/2024 12:25
112,189634,552749,1,304.39,Pending,6/25/2024 22:56
113,271978,310086,5,2124.83,Delivered,8/19/2023 22:45
114,434626,42359,4,1861.55,Shipped,4/14/2024 6:02
115,105857,679740,5,1569.19,Pending,8/26/2023 18:31
116,867742,924383,1,402.64,Processing,4/2/2024 20:47
117,175993,603977,5,1721.85,Pending,3/19/2024 4:46
118,132016,568073,1,463.78,Delivered,2/25/2024 3:43
119,269658,731279,4,1100.84,Pending,11/12/2023 22:11
120,390567,277081,4,570.04,Pending,12/25/2023 2:57
121,659481,638828,3,576.95,Shipped,10/22/2023 11:52
122,932960,537409,4,139.55,Pending,11/27/2023 13:30
123,447642,863110,1,206.79,Processing,11/14/2023 10:02
124,798137,64658,5,1372.87,Pending,12/3/2023 18:55
125,931696,680327,3,268.77,Delivered,2/4/2024 13:43
126,192853,204249,2,619.96,Delivered,7/19/2024 1:39
127,319285,26423,2,971.18,Shipped,4/21/2024 13:36
128,179677,760347,4,1452.88,Delivered,8/25/2023 9:00
129,393757,676956,5,199.47,Delivered,1/7/2024 5:59
130,492544,589625,4,643.25,Pending,3/30/2024 9:32
131,981310,491528,1,183.82,Shipped,9/2/2023 10:39
132,466904,409570,5,2265.24,Shipped,12/4/2023 9:47
133,492841,187995,3,1224.99,Pending,2/8/2024 16:26
134,271598,505575,2,664.49,Processing,5/2/2024 6:51
135,848262,860864,4,1235.74,Pending,10/9/2023 10:06
136,294352,535057,4,859.93,Delivered,1/16/2024 14:40
137,282487,550910,4,1950.71,Shipped,7/13/2024 8:38
138,830556,123289,3,174.89,Shipped,6/30/2024 15:14
139,802187,33420,2,605.12,Processing,8/18/2023 21:10
140,282702,323266,3,60.32,Processing,6/17/2024 2:30
141,539010,717564,5,1131.53,Shipped,9/3/2023 3:20
142,482396,528966,2,373.34,Delivered,10/17/2023 3:34
143,874643,618585,5,2033.65,Shipped,7/3/2024 11:24
144,158368,235073,3,1376.8,Pending,2/19/2024 18:00
145,442865,251971,4,1326.8,Shipped,7/5/2024 10:12
146,867024,358326,1,77.85,Shipped,5/17/2024 22:24
147,87140,453145,3,1224.21,Delivered,12/26/2023 12:35
148,747631,517402,2,263.15,Pending,4/25/2024 19:58
149,829767,307379,3,887.41,Processing,1/28/2024 0:59
150,934205,462167,4,817.21,Pending,2/29/2024 16:40
151,778903,924081,3,332,Shipped,5/24/2024 6:02
152,680854,415377,4,620.46,Delivered,4/23/2024 9:53
153,886297,90153,3,268.2,Processing,7/20/2024 18:27
154,114707,782738,3,126.24,Processing,3/12/2024 16:30
155,945789,842071,5,1751.14,Shipped,12/30/2023 11:49
156,65459,7442,2,870.34,Shipped,8/2/2023 7:20
157,655409,181512,4,1078.39,Processing,12/9/2023 22:38
158,613412,305385,2,953.86,Processing,9/28/2023 15:02
159,368970,472873,4,1212.41,Delivered,5/12/2024 23:02
160,271715,310649,2,189.42,Processing,12/13/2023 0:39
161,632667,548886,3,847.33,Pending,8/28/2023 4:46
162,183045,158470,4,109.05,Delivered,10/19/2023 7:01
163,201456,886189,3,215.58,Shipped,4/13/2024 23:10
164,280181,308233,5,2427.64,Shipped,6/28/2024 8:37
165,470540,801724,3,184.31,Pending,3/15/2024 19:51
166,296567,506348,5,341.24,Pending,10/14/2023 2:39
167,942183,298497,2,297.98,Processing,5/31/2024 6:17
168,646927,946324,4,131.1,Pending,11/27/2023 8:21
169,111419,794149,5,734.34,Delivered,7/12/2024 21:55
170,700211,27149,4,1653.69,Processing,9/24/2023 19:18
171,680727,176840,3,430.59,Shipped,2/17/2024 9:22
172,204803,542553,2,371.42,Delivered,10/15/2023 14:51
173,285007,671147,1,128.07,Pending,3/10/2024 7:54
174,690619,680808,1,232.13,Delivered,2/5/2024 15:19
175,603313,235894,3,991.64,Delivered,8/31/2023 7:17
176,386500,845547,5,532.49,Processing,9/16/2023 22:01
177,65463,935217,2,796.17,Processing,7/15/2024 15:55
178,400474,685379,1,393.78,Delivered,6/29/2024 10:57
179,635448,660542,2,282.34,Pending,9/9/2023 4:55
180,54346,810977,3,182.13,Pending,11/24/2023 10:34
181,883655,839624,2,694.3,Shipped,2/16/2024 20:13
182,674771,864877,4,1671.83,Shipped,11/24/2023 10:59
183,168412,834178,3,1182.84,Delivered,2/24/2024 15:50
184,622031,449288,2,54.07,Shipped,2/9/2024 14:21
185,184284,863357,3,248.29,Shipped,1/5/2024 0:38
186,903604,92960,2,541.39,Shipped,3/24/2024 6:38
187,190393,61853,4,368.37,Pending,4/28/2024 23:57
188,362321,821892,3,400.02,Shipped,7/18/2024 3:51
189,999242,982038,2,928.35,Delivered,11/10/2023 17:43
190,133775,981545,5,1731.48,Delivered,8/1/2023 17:54
191,158749,359917,2,918.31,Delivered,11/30/2023 5:25
192,745352,713668,2,421.42,Pending,8/11/2023 17:54
193,290374,347458,1,473.73,Pending,10/14/2023 19:33
194,348573,202055,3,208.58,Delivered,2/6/2024 0:55
195,33370,101043,5,722.43,Processing,10/28/2023 18:48
196,41496,700611,1,224.59,Delivered,1/10/2024 19:38
197,927258,525989,2,254.99,Delivered,12/15/2023 9:46
198,847486,565055,4,896.27,Processing,7/24/2023 0:27
199,386501,824659,2,489.48,Pending,9/4/2023 14:01
200,685686,965866,1,289.75,Shipped,9/4/2023 2:04
201,926345,609886,1,278.52,Delivered,2/18/2024 17:29
202,700157,824389,1,363.09,Shipped,11/5/2023 16:47
203,90932,196667,2,340.62,Processing,10/4/2023 15:11
204,381696,183413,3,1381.53,Shipped,9/6/2023 21:52
205,193367,393314,3,1326.77,Delivered,4/10/2024 14:02
206,749646,629819,2,515.1,Delivered,7/15/2024 4:21
207,904741,332389,3,92.84,Pending,10/28/2023 21:40
208,314720,989204,2,894.32,Pending,1/3/2024 21:11
209,521876,996544,4,284.22,Shipped,10/4/2023 13:05
210,379578,615374,3,615.63,Pending,5/18/2024 18:58
211,525319,609840,3,573.77,Pending,3/4/2024 8:52
212,113417,161179,2,570.36,Processing,8/8/2023 3:51
213,813458,322887,2,804.68,Processing,2/29/2024 6:13
214,871564,192444,2,924.24,Delivered,5/11/2024 0:11
215,476292,861576,4,801.7,Shipped,9/5/2023 17:52
216,563082,847411,4,1518.02,Processing,2/19/2024 14:18
217,636884,615235,1,27.6,Processing,4/11/2024 21:11
218,496911,516876,4,1498.62,Shipped,3/28/2024 23:51
219,60699,865128,3,1254.04,Processing,4/4/2024 17:52
220,616138,697126,1,40.48,Pending,10/20/2023 13:54
221,558506,374304,4,653.52,Processing,6/16/2024 20:26
222,602247,598470,5,2143.4,Shipped,3/8/2024 20:35
223,222908,505778,3,747.58,Processing,2/6/2024 15:08
224,968014,740272,2,357.22,Delivered,6/8/2024 0:53
225,584532,227312,1,299.24,Pending,4/10/2024 12:40
226,30117,624173,1,473.92,Pending,8/10/2023 0:54
227,212782,121312,1,354.32,Delivered,3/25/2024 15:11
228,927304,796888,3,301.77,Pending,10/9/2023 0:54
229,708298,790317,3,726.59,Delivered,11/26/2023 4:20
230,529979,367816,1,294.77,Pending,2/4/2024 1:38
231,24880,612860,2,486.31,Processing,7/23/2023 20:19
232,297131,667202,4,1169.39,Pending,12/12/2023 20:56
233,179870,165267,4,1880.56,Delivered,11/10/2023 2:04
234,666402,639920,1,413.14,Delivered,7/2/2024 14:41
235,250963,759668,2,793.54,Processing,2/1/2024 14:42
236,31888,229936,3,39.43,Pending,7/12/2024 14:47
237,698469,439917,5,1679.29,Processing,10/8/2023 21:49
238,770996,874860,5,2007.42,Delivered,5/25/2024 4:52
239,80463,876685,3,1258.33,Delivered,9/6/2023 16:26
240,115040,790275,3,1284.46,Processing,9/1/2023 23:57
241,759599,431719,1,386.15,Shipped,12/19/2023 10:35
242,569347,553258,2,134.85,Processing,6/5/2024 23:08
243,767150,276037,5,856.62,Delivered,9/4/2023 18:22
244,615753,494255,2,448.18,Shipped,11/16/2023 19:38
245,85722,853873,1,97.57,Shipped,7/19/2024 6:28
246,867172,165222,1,474.11,Pending,5/21/2024 17:02
247,862138,992903,5,1252.02,Shipped,10/30/2023 3:18
248,324438,794985,1,323.35,Shipped,9/5/2023 22:24
249,793781,251271,5,958.81,Shipped,4/7/2024 11:36
250,684129,756804,1,413.77,Pending,7/2/2024 17:48
251,131624,914276,3,538.41,Delivered,1/4/2024 21:55
252,547073,135477,1,90.39,Pending,3/19/2024 9:39
253,671706,6444,2,758.83,Processing,5/26/2024 15:41
254,850147,170120,1,224.13,Processing,5/2/2024 9:06
255,511105,63454,2,896.29,Processing,11/22/2023 10:31
256,36089,806254,4,312.89,Processing,10/26/2023 0:57
257,622052,553519,1,207.47,Pending,12/21/2023 8:14
258,783778,382065,5,2417.91,Processing,11/6/2023 2:55
259,542750,830633,4,580.01,Processing,9/18/2023 4:02
260,810897,275650,2,265.5,Processing,1/30/2024 9:17
261,501601,554181,2,701.88,Processing,6/1/2024 10:01
262,2233,974492,3,1491.6,Pending,2/24/2024 5:11
263,500932,945206,3,452.11,Shipped,5/17/2024 12:27
264,814696,92670,5,2384.12,Pending,5/27/2024 21:32
265,705889,101427,4,1151.41,Pending,7/26/2023 1:57
266,983205,315522,4,936.21,Delivered,12/5/2023 7:49
267,62998,938987,2,833.72,Shipped,7/24/2023 23:08
268,872664,227770,1,441.08,Shipped,3/25/2024 2:37
269,190612,830241,4,1974.01,Delivered,2/28/2024 4:38
270,36993,271045,2,881.55,Delivered,9/10/2023 0:13
271,22497,782026,1,75.01,Processing,5/21/2024 7:59
272,533942,735196,5,1239.63,Shipped,9/20/2023 15:06
273,139765,170990,3,516.53,Shipped,7/8/2024 12:29
274,380707,947193,3,736.94,Shipped,2/12/2024 17:50
275,500257,48718,3,1212.4,Pending,5/21/2024 17:45
276,568556,943153,5,656.91,Processing,1/17/2024 13:05
277,177391,746493,3,301.36,Pending,6/1/2024 12:15
278,705557,45785,4,1110.13,Delivered,10/3/2023 19:49
279,463636,246396,5,1814.8,Processing,2/20/2024 5:52
280,311519,603496,5,2478.88,Delivered,8/24/2023 4:53
281,921638,251531,1,31.2,Shipped,9/12/2023 15:26
282,677836,512286,3,969.73,Pending,8/5/2023 10:30
283,639155,689112,3,353.63,Pending,7/2/2024 7:50
284,94154,684732,1,494.31,Pending,10/10/2023 18:20
285,154823,695319,1,329.89,Pending,9/18/2023 6:22
286,710172,8662,1,459.38,Delivered,1/30/2024 22:52
287,815557,925528,2,986.17,Shipped,8/11/2023 16:47
288,344680,721856,1,92.04,Delivered,6/1/2024 18:49
289,619106,469695,4,996.85,Delivered,12/4/2023 0:43
290,941312,422884,1,191.2,Shipped,1/21/2024 4:00
291,327792,549315,3,866.13,Pending,8/10/2023 7:43
292,565556,207530,3,240.51,Processing,1/9/2024 22:35
293,862793,902864,5,240.06,Pending,10/26/2023 2:53
294,58558,435707,2,450.11,Pending,2/3/2024 10:26
295,906175,22973,3,1159.78,Pending,12/22/2023 14:58
296,660101,545949,5,2339.12,Shipped,7/4/2024 17:05
297,50557,627056,2,555.91,Processing,9/10/2023 17:13
298,67011,841260,4,352.39,Pending,3/28/2024 1:55
299,836431,950178,1,78.13,Pending,5/22/2024 10:08
300,385272,912479,4,1878.63,Processing,9/1/2023 5:23
301,95828,76216,1,79.47,Processing,10/23/2023 3:23
302,285204,211099,2,537.06,Delivered,10/28/2023 2:50
303,714063,897912,1,182.72,Shipped,9/4/2023 7:37
304,108707,597510,4,231.28,Delivered,11/28/2023 0:14
305,222164,638239,1,15.03,Delivered,6/23/2024 9:02
306,919338,465412,3,210.96,Shipped,10/30/2023 7:06
307,130912,714020,4,1348.26,Processing,9/13/2023 20:29
308,794748,950697,5,636.82,Delivered,3/31/2024 18:55
309,282512,358842,2,62.73,Shipped,9/24/2023 9:32
310,795582,617194,1,177.93,Processing,12/30/2023 5:55
311,269839,937839,2,930.8,Pending,4/4/2024 20:18
312,562376,572772,1,30.96,Shipped,2/19/2024 13:29
313,780376,562011,1,94.41,Shipped,9/29/2023 0:50
314,370350,204850,4,499.15,Processing,1/23/2024 18:36
315,510831,649298,4,359.05,Delivered,3/15/2024 20:41
316,82911,761981,2,238.77,Delivered,1/6/2024 2:43
317,833276,113197,4,660.76,Shipped,2/9/2024 13:19
318,730184,665281,2,735.27,Processing,4/30/2024 4:27
319,729099,541715,2,385.33,Shipped,3/1/2024 1:01
320,490080,348579,1,357.33,Delivered,5/3/2024 5:43
321,350340,468530,3,1265.68,Shipped,3/21/2024 2:27
322,27706,496052,2,869.37,Shipped,4/3/2024 8:36
323,520284,165306,1,73.85,Shipped,6/14/2024 0:07
324,726015,826479,4,1877.63,Delivered,9/9/2023 21:14
325,922701,172095,5,874.28,Processing,5/15/2024 17:07
326,756328,931147,1,366.55,Pending,5/8/2024 11:22
327,531967,690477,3,1398.41,Delivered,6/2/2024 20:58
328,101151,348687,4,1690.89,Shipped,11/8/2023 0:34
329,191960,323682,3,765.02,Pending,9/25/2023 17:08
330,247509,171597,2,328.81,Pending,4/3/2024 7:01
331,883932,948635,1,37.88,Pending,4/2/2024 11:50
332,68316,333594,2,859.73,Shipped,7/23/2023 17:06
333,239037,499467,4,1615.95,Pending,4/10/2024 17:00
334,385069,818373,5,2394.94,Delivered,5/12/2024 13:07
335,557425,572523,3,1493.7,Shipped,9/19/2023 18:00
336,58503,805965,4,1677.79,Shipped,4/20/2024 22:58
337,550018,228094,3,688.7,Shipped,11/26/2023 10:19
338,757506,911665,2,896.11,Shipped,7/3/2024 10:57
339,968457,24370,4,1951.61,Processing,7/23/2023 18:18
340,297238,425288,4,500.33,Shipped,3/4/2024 18:51
341,125817,158280,1,299.38,Delivered,3/17/2024 18:25
342,304911,807016,3,1105.49,Processing,4/27/2024 1:24
343,866170,780348,3,901.56,Delivered,3/31/2024 13:20
344,926861,775735,2,847.7,Shipped,11/27/2023 11:49
345,611954,656125,1,29.63,Shipped,9/19/2023 9:44
346,846929,548054,3,331.71,Shipped,8/21/2023 15:40
347,49478,22766,2,617.14,Processing,12/1/2023 3:06
348,749626,512723,5,1769.71,Shipped,1/16/2024 2:49
349,966671,887812,5,651.39,Delivered,4/30/2024 18:41
350,568549,680499,1,283.8,Processing,6/27/2024 0:17
351,228071,873135,1,422.71,Processing,1/27/2024 22:54
352,247828,183300,1,159.53,Shipped,4/24/2024 10:52
353,816269,205734,5,225.61,Shipped,4/20/2024 0:40
354,825008,348062,4,854.98,Shipped,12/28/2023 13:01
355,581233,509934,5,542.97,Delivered,9/3/2023 8:49
356,612527,718678,5,1568.43,Shipped,1/17/2024 21:26
357,929380,161385,1,360.31,Pending,6/29/2024 17:10
358,518162,92644,1,424.47,Delivered,12/29/2023 18:07
359,848222,634153,3,1135.66,Pending,6/9/2024 13:31
360,644397,586377,4,917.43,Shipped,5/18/2024 11:10
361,19898,409713,3,1122.56,Shipped,2/20/2024 21:16
362,62268,532230,5,316.18,Processing,6/29/2024 11:13
363,140416,496044,2,166.26,Delivered,1/23/2024 12:50
364,158334,371624,5,1163.84,Pending,3/6/2024 9:42
365,202164,508186,5,421.62,Delivered,9/6/2023 11:17
366,919597,601659,1,316.26,Pending,1/18/2024 4:58
367,378237,802377,5,1149.71,Shipped,2/22/2024 18:28
368,486823,737417,1,63.39,Shipped,10/27/2023 2:40
369,235260,311497,4,261.79,Shipped,3/28/2024 3:43
370,297944,194657,4,411.51,Processing,1/27/2024 23:00
371,882707,643021,5,1600.02,Shipped,1/24/2024 2:45
372,347024,419492,1,330.8,Shipped,10/12/2023 7:35
373,745507,904797,2,784.7,Delivered,11/3/2023 11:06
374,343559,504526,5,2206.18,Pending,9/8/2023 1:12
375,887105,249725,1,105.77,Pending,12/1/2023 10:31
376,749929,780784,3,873.12,Delivered,1/30/2024 5:34
377,538727,982753,4,587.75,Delivered,6/13/2024 7:25
378,692775,973637,4,1866.12,Delivered,9/26/2023 3:13
379,576657,140105,4,1950.77,Pending,10/11/2023 12:17
380,791425,521397,2,25.52,Delivered,3/26/2024 8:34
381,274953,857468,2,373.41,Pending,8/31/2023 0:28
382,724972,788629,4,1680.82,Processing,6/10/2024 10:07
383,745823,952501,2,671.27,Shipped,5/19/2024 3:39
384,865501,745721,1,266.52,Delivered,4/24/2024 18:12
385,377057,58879,5,1726.68,Delivered,1/8/2024 11:29
386,729478,50246,3,1220.55,Delivered,9/15/2023 15:41
387,643403,522866,4,326.87,Delivered,11/24/2023 2:50
388,811856,378622,4,1332.97,Processing,9/27/2023 23:04
389,48968,888366,3,356.62,Delivered,11/21/2023 11:16
390,397116,641863,2,788.92,Processing,5/31/2024 2:48
391,868880,356013,2,32.66,Processing,4/3/2024 23:49
392,898117,405689,2,413.12,Shipped,11/15/2023 17:34
393,725828,506562,3,337.33,Pending,5/26/2024 2:29
394,305595,645130,5,1020.65,Shipped,6/20/2024 16:57
395,883197,270973,3,1458.09,Shipped,10/28/2023 13:49
396,792692,891038,4,1605.91,Processing,2/12/2024 20:25
397,75240,27887,5,232.81,Delivered,5/17/2024 16:29
398,389548,929498,5,825.64,Shipped,7/15/2024 12:38
399,588026,386602,5,337.56,Processing,12/14/2023 19:49
400,643168,693096,4,644.41,Pending,12/4/2023 21:47
401,449805,691103,3,540.64,Delivered,5/10/2024 11:42
402,288428,635866,5,540.58,Shipped,9/8/2023 15:58
403,878353,214208,4,225.36,Delivered,3/17/2024 3:25
404,189341,552215,5,268.97,Shipped,9/7/2023 15:55
405,58495,971200,5,650.01,Shipped,1/15/2024 7:21
406,603722,26927,1,490.73,Shipped,1/13/2024 22:43
407,226604,404868,4,1346.99,Processing,3/5/2024 18:50
408,240151,991872,1,103.97,Processing,3/24/2024 2:20
409,419519,219005,5,312.93,Shipped,3/31/2024 4:04
410,468863,688501,5,640.82,Shipped,8/21/2023 7:14
411,508002,703125,2,812.47,Pending,5/1/2024 7:46
412,17402,341948,3,1395.93,Delivered,6/6/2024 10:43
413,540000,781131,4,1334.72,Delivered,11/6/2023 20:43
414,78314,589921,2,285.42,Delivered,11/19/2023 12:11
415,852604,599911,3,944.57,Delivered,1/24/2024 4:36
416,547903,603452,2,378.42,Pending,9/8/2023 10:23
417,426762,766477,5,1626.47,Pending,3/2/2024 12:05
418,138709,80808,5,130.92,Processing,3/25/2024 22:20
419,569206,948053,2,322.33,Shipped,12/19/2023 12:26
420,507004,278940,5,548.97,Delivered,2/24/2024 3:21
421,264690,762486,2,477.81,Delivered,2/26/2024 10:41
422,696661,305598,1,134.15,Pending,10/11/2023 0:08
423,16047,437443,1,484.91,Shipped,3/1/2024 23:40
424,311151,992881,2,42,Processing,4/17/2024 18:24
425,631589,682669,3,1060.75,Delivered,6/6/2024 1:28
426,731843,513955,3,533.09,Pending,1/30/2024 16:11
427,264030,623809,4,1755.4,Shipped,3/16/2024 7:01
428,145405,521230,5,2135.74,Pending,8/9/2023 12:24
429,884617,200694,4,138.99,Delivered,9/16/2023 15:05
430,493298,149235,5,1096.76,Pending,11/16/2023 10:28
431,775564,367433,3,963.35,Delivered,10/12/2023 16:23
432,507553,770499,2,774.41,Pending,5/7/2024 9:02
433,195525,915237,4,1171.05,Processing,9/19/2023 21:01
434,605500,17036,3,496.4,Pending,6/19/2024 18:16
435,629339,721689,2,417.41,Shipped,6/7/2024 3:51
436,536360,817596,4,175.82,Delivered,6/20/2024 20:53
437,19657,550334,3,645.91,Pending,4/5/2024 14:15
438,273938,518694,1,334.92,Delivered,1/11/2024 16:04
439,772916,364551,3,507.54,Pending,11/24/2023 13:55
440,762759,141394,1,499.2,Delivered,7/9/2024 2:00
441,124162,640291,3,128.04,Processing,12/27/2023 22:50
442,87744,924665,5,169.91,Processing,3/3/2024 16:56
443,996162,554529,3,323.18,Delivered,12/10/2023 0:35
444,162716,594475,2,928.77,Shipped,6/8/2024 20:05
445,171214,777780,4,432.93,Processing,2/18/2024 18:30
446,103353,44686,4,1404.56,Processing,8/17/2023 1:09
447,265974,785863,4,97.13,Pending,12/2/2023 7:44
448,882527,165963,4,675.49,Processing,4/17/2024 23:34
449,365774,137082,2,227.63,Shipped,5/19/2024 12:51
450,853880,806882,2,797.7,Pending,10/3/2023 5:13
451,889319,435351,3,661.62,Shipped,2/16/2024 8:41
452,837928,729596,3,312.16,Delivered,12/31/2023 5:27
453,682798,416937,2,780.6,Delivered,10/6/2023 8:27
454,69692,416178,4,752.45,Shipped,12/13/2023 8:58
455,398356,756564,1,399.51,Pending,10/1/2023 9:24
456,741501,964815,5,1861.63,Pending,8/19/2023 16:42
457,434123,19147,4,432.69,Processing,8/12/2023 3:02
458,828010,945849,3,578.73,Processing,2/27/2024 21:39
459,47424,680994,3,1297.89,Processing,3/2/2024 5:27
460,53692,213009,3,521.47,Pending,3/15/2024 19:21
461,877753,183486,5,2059.05,Delivered,10/19/2023 12:09
462,312642,26264,3,442.69,Pending,5/24/2024 9:42
463,999660,216980,5,2289.93,Delivered,6/28/2024 12:49
464,313111,579076,5,158.23,Delivered,5/27/2024 14:08
465,43974,898482,5,1514.18,Pending,2/13/2024 15:08
466,516702,178201,5,2205.54,Pending,11/12/2023 0:53
467,655826,322357,4,1126.22,Processing,5/6/2024 16:29
468,931912,449971,3,246.83,Delivered,6/4/2024 19:20
469,150442,595908,3,185.9,Pending,1/16/2024 9:01
